Name,accessKey,membership,payment,latitude,longitude
Ashford,True,True,False,51.13627243041992,0.8773599863052368
Fowey,True,True,False,50.32745361328125,-4.635746002197266
Camden Town,True,True,False,51.542091369628906,-0.1497740000486374
Gloucester,True,True,False,51.86675262451172,-2.2378780841827393
London,True,True,False,51.48130416870117,-0.46155300736427307
Milton,True,True,False,51.622169494628906,-1.2869479656219482
Looe,False,False,False,50.351932525634766,-4.512193202972412
Edinburgh,True,True,False,55.950077056884766,-3.1868209838867188
Lyndhurst,True,True,False,50.86236572265625,-1.5548019409179688
Acton Trussell,True,True,False,52.7562255859375,-2.0966200828552246
Bishopstone,True,True,False,51.55208969116211,-1.6480549573898315
Warwick,False,False,False,52.17296600341797,-1.5484013557434082
Craven,True,True,False,53.997528076171875,-2.3365941047668457
Swale,False,False,False,51.33909225463867,0.7365109920501709
Dudley,True,True,False,52.45702362060547,-2.14880108833313
Reading,True,True,False,51.433204650878906,-0.9702759981155396
Brentford,True,True,False,51.48324966430664,-0.30578601360321045
Horndean,True,True,False,50.907875061035156,-1.0020079612731934
Milton Keynes,True,True,False,52.00416564941406,-0.7941259741783142
Bradford,False,False,True,53.83320236206055,-1.779170036315918
Bear Cross,True,True,False,50.74885559082031,-1.9503710269927979
Basildon,True,True,False,51.56314468383789,0.5023679733276367
Sheffield,True,True,False,53.39015579223633,-1.4575647115707397
Poole,True,True,False,50.7401008605957,-1.9888750314712524
Rotherham,True,True,False,53.43451690673828,-1.3526769876480103
Bournemouth,True,True,False,50.7450065612793,-1.8169909715652466
Wilmslow,True,True,False,53.33718490600586,-2.2167789936065674
London,True,True,False,51.534786224365234,-0.38910600543022156
Chesterfield,True,True,False,53.25200653076172,-1.4245400428771973
Alford,False,False,True,53.26206588745117,0.1821742206811905
Aberystwyth,False,False,True,52.417823791503906,-4.0644965171813965
South Lanarkshire,True,True,False,55.784423828125,-4.117998123168945
Torrington,True,True,False,50.950775146484375,-4.144753932952881
Bristol,True,True,False,51.448158264160156,-2.5838398933410645
Hull,True,True,False,53.746028900146484,-0.3513289988040924
Dundee,True,True,False,56.47272872924805,-2.9726929664611816
Uxbridge Road,True,True,False,51.50654983520508,-0.3458699882030487
Powys,False,False,False,51.896484375,-3.290313959121704
London,False,False,True,51.476219177246094,-0.3956124782562256
Leven,True,True,False,56.1873893737793,-3.052309989929199
Patchway,True,True,False,51.52613830566406,-2.600600004196167
South Kesteven,False,False,True,52.993961334228516,-0.7588706016540527
West Kilbride,True,True,False,55.695716857910156,-4.854388236999512
Irvine,True,True,False,55.609500885009766,-4.675620079040527
South Uist,True,True,False,57.25008010864258,-7.379049777984619
Buxton,False,False,False,53.19178771972656,-1.846550703048706
Cumnock,True,True,False,55.45431137084961,-4.267429828643799
Jesmond,True,True,False,54.99388122558594,-1.6097400188446045
Strood,True,True,False,51.393043518066406,0.4921766221523285
East Kilbride,True,True,False,55.7634162902832,-4.172159671783447
Oxford Science Park,True,True,False,51.71462631225586,-1.2230240106582642
Lewes,True,True,False,50.871063232421875,0.011575000360608101
Blandford Forum,True,True,False,50.854759216308594,-2.1660919189453125
Milton Park,True,True,False,51.62197494506836,-1.2866870164871216
Salford,True,True,False,53.482948303222656,-2.253190040588379
Northamptonshire,False,False,True,52.489627838134766,-0.7169414758682251
Newark and Sherwood,False,False,True,53.072471618652344,-0.8136500716209412
Haverfordwest,False,False,True,51.90036392211914,-4.970578670501709
Eyemouth,True,True,False,55.87004852294922,-2.089961051940918
Sherbourne,True,True,False,51.00046920776367,-2.521204948425293
Eversley Centre,True,True,False,51.34893035888672,-0.8721320033073425
Isle of Seil,True,True,False,56.3177604675293,-5.584132194519043
Swainby,True,True,False,54.413944244384766,-1.268319010734558
Bakewell,True,True,False,53.21431350708008,-1.6780810356140137
Bideford,True,True,False,51.03421401977539,-4.212187767028809
Stanley,True,True,False,54.883689880371094,-1.6874810457229614
Swindon,False,False,True,51.56002426147461,-1.777755618095398
Luton,True,True,False,51.88250732421875,-0.4125640094280243
Mill Lane,True,True,False,51.022918701171875,-0.4528599977493286
Hawes,True,True,False,54.30452346801758,-2.192599058151245
Peterhead,True,True,False,57.505279541015625,-1.7835999727249146
Walsall,False,False,True,52.57120132446289,-1.9975810050964355
Walsall,False,False,True,52.58689498901367,-1.976531982421875
Aberlady,True,True,False,56.008277893066406,-2.8615360260009766
Hattonrigg,True,True,False,55.831199645996094,-4.0343499183654785
Swaffham,False,False,True,52.648433685302734,0.6868255138397217
Portsmouth,True,True,False,50.80577850341797,-1.089223027229309
Breckland,False,False,True,52.51884460449219,1.0170751810073853
Haddington,True,True,False,55.95132064819336,-2.7792000770568848
St Albans,False,False,True,51.72114181518555,-0.3637169897556305
